Rodada 1, Cliente 0, Epoca 31, G_loss 75.46989438296184, D_loss 9.074737067444783e-08, Tempo 27.026468515396118
Rodada 1, Cliente 1, Epoca 32, G_loss 18.027496945391345, D_loss 1.1126103937609106e-05, Tempo 26.28606653213501
Rodada 1, Cliente 2, Epoca 49, G_loss 6.3474025297700685, D_loss 0.07001556230844992, Tempo 16.148769855499268
Rodada 1, Cliente 3, Epoca 46, G_loss 0.0, D_loss 50.0, Tempo 17.29964327812195
Rodada 1, Cliente 1, Epoca 33, G_loss 36.05125835527305, D_loss 5.101712964612754e-05, Tempo 27.139641761779785
Rodada 1, Cliente 0, Epoca 32, G_loss 75.428658632888, D_loss 7.716562648656869e-08, Tempo 27.918620347976685
Rodada 1, Cliente 2, Epoca 50, G_loss 6.0595984592866365, D_loss 0.07647308266428665, Tempo 16.855093002319336
Rodada 1, Cliente 3, Epoca 47, G_loss 0.0, D_loss 50.0, Tempo 16.044593811035156
Rodada 1, Cliente 3, Epoca 48, G_loss 0.0, D_loss 50.0, Tempo 14.376754760742188
Rodada 1, Cliente 1, Epoca 34, G_loss 60.79950849865679, D_loss 0.0020466429642939997, Tempo 20.044748783111572
Rodada 1, Cliente 0, Epoca 33, G_loss 75.41250557915862, D_loss 6.61869883032088e-08, Tempo 20.21941828727722
Rodada 1, Cliente 3, Epoca 49, G_loss 0.0, D_loss 50.0, Tempo 13.658775806427002
Rodada 1, Cliente 1, Epoca 35, G_loss 100.0, D_loss 1.935441616149899e-06, Tempo 20.143457889556885
Rodada 1, Cliente 0, Epoca 34, G_loss 75.4303585983224, D_loss 5.715365059114733e-08, Tempo 20.9708354473114
Rodada 1, Cliente 3, Epoca 50, G_loss 0.0, D_loss 50.0, Tempo 13.014774322509766
Rodada 1, Cliente 1, Epoca 36, G_loss 100.0, D_loss 1.2147396592496996e-06, Tempo 16.258661031723022
Rodada 1, Cliente 0, Epoca 35, G_loss 75.35233333102616, D_loss 4.9761342997294006e-08, Tempo 16.146183252334595
Rodada 1, Cliente 1, Epoca 37, G_loss 100.0, D_loss 8.656201203597205e-07, Tempo 14.290282011032104
Rodada 1, Cliente 0, Epoca 36, G_loss 75.35437890016746, D_loss 4.3419255975269486e-08, Tempo 14.410613775253296
Rodada 1, Cliente 1, Epoca 38, G_loss 100.0, D_loss 6.59461995741907e-07, Tempo 14.32305383682251
Rodada 1, Cliente 0, Epoca 37, G_loss 75.3452610396028, D_loss 3.799699554919735e-08, Tempo 14.453424453735352
Rodada 1, Cliente 1, Epoca 39, G_loss 100.0, D_loss 5.211557894219575e-07, Tempo 14.222393274307251
Rodada 1, Cliente 0, Epoca 38, G_loss 75.2966329830209, D_loss 3.3379070834943914e-08, Tempo 14.59687066078186
Rodada 1, Cliente 1, Epoca 40, G_loss 100.0, D_loss 4.2174599222366275e-07, Tempo 14.058065176010132
Rodada 1, Cliente 0, Epoca 39, G_loss 75.33398500422841, D_loss 2.9346441253401866e-08, Tempo 14.286147117614746
Rodada 1, Cliente 1, Epoca 41, G_loss 100.0, D_loss 3.470615813916152e-07, Tempo 13.44360065460205
Rodada 1, Cliente 0, Epoca 40, G_loss 75.3067064055872, D_loss 2.5817731054980727e-08, Tempo 14.083739042282104
Rodada 1, Cliente 1, Epoca 42, G_loss 100.0, D_loss 2.8813932304077565e-07, Tempo 14.269827842712402
Rodada 1, Cliente 0, Epoca 41, G_loss 75.25673284891135, D_loss 2.278713099198135e-08, Tempo 15.713780879974365
Rodada 1, Cliente 1, Epoca 43, G_loss 100.0, D_loss 2.4222564381130795e-07, Tempo 15.908069372177124
Rodada 1, Cliente 0, Epoca 42, G_loss 75.2179857234365, D_loss 2.009957820723299e-08, Tempo 16.155511379241943
Rodada 1, Cliente 1, Epoca 44, G_loss 100.0, D_loss 2.0509651622705686e-07, Tempo 15.82767391204834
Rodada 1, Cliente 0, Epoca 43, G_loss 75.29085157990865, D_loss 1.776253458560661e-08, Tempo 16.234198093414307
Rodada 1, Cliente 1, Epoca 45, G_loss 100.0, D_loss 1.743785481100958e-07, Tempo 14.700342416763306
