Cliente 1: Epoca: 36, D_loss: 50.0000, G_loss: 100.0000, Tempo: 3.0690
Cliente 1: Epoca: 37, D_loss: 50.0000, G_loss: 100.0000, Tempo: 2.3315
Cliente 1: Epoca: 38, D_loss: 50.0000, G_loss: 100.0000, Tempo: 2.4480
Cliente 1: Epoca: 39, D_loss: 50.0000, G_loss: 100.0000, Tempo: 2.2321
Cliente 1: Epoca: 40, D_loss: 50.0000, G_loss: 100.0000, Tempo: 4.5463
Cliente 1: Epoca: 41, D_loss: 50.0000, G_loss: 100.0000, Tempo: 2.7658
Cliente 1: Epoca: 42, D_loss: 50.0000, G_loss: 100.0000, Tempo: 2.3671
Cliente 1: Epoca: 43, D_loss: 50.0000, G_loss: 100.0000, Tempo: 2.2989
Cliente 1: Epoca: 44, D_loss: 50.0000, G_loss: 100.0000, Tempo: 3.0919
Cliente 1: Epoca: 45, D_loss: 50.0000, G_loss: 100.0000, Tempo: 3.8158
Cliente 1: Epoca: 46, D_loss: 50.0000, G_loss: 100.0000, Tempo: 2.4386
Cliente 1: Epoca: 47, D_loss: 50.0000, G_loss: 100.0000, Tempo: 2.3629
Cliente 1: Epoca: 48, D_loss: 50.0000, G_loss: 100.0000, Tempo: 2.5432
Cliente 1: Epoca: 49, D_loss: 50.0000, G_loss: 100.0000, Tempo: 2.4617
Cliente 1: Epoca: 50, D_loss: 50.0000, G_loss: 100.0000, Tempo: 4.5474
Cliente 2: Epoca: 1, D_loss: 1.5277, G_loss: 12.2355, Tempo: 2.7679
Cliente 2: Epoca: 2, D_loss: 0.0018, G_loss: 11.0811, Tempo: 2.2334
Cliente 2: Epoca: 3, D_loss: 0.0021, G_loss: 11.2383, Tempo: 2.5598
Cliente 2: Epoca: 4, D_loss: 0.0032, G_loss: 12.5484, Tempo: 2.4688
Cliente 2: Epoca: 5, D_loss: 0.0012, G_loss: 16.0109, Tempo: 4.0801
Cliente 2: Epoca: 6, D_loss: 0.0001, G_loss: 15.5696, Tempo: 3.4722
Cliente 2: Epoca: 7, D_loss: 0.0000, G_loss: 15.7752, Tempo: 2.3937
Cliente 2: Epoca: 8, D_loss: 0.0000, G_loss: 15.1600, Tempo: 2.5042
Cliente 2: Epoca: 9, D_loss: 0.0000, G_loss: 14.9865, Tempo: 2.3919
Cliente 2: Epoca: 10, D_loss: 0.0000, G_loss: 13.8258, Tempo: 3.5579
Cliente 2: Epoca: 11, D_loss: 0.0000, G_loss: 14.5499, Tempo: 2.3968
Cliente 2: Epoca: 12, D_loss: 0.0000, G_loss: 14.9790, Tempo: 2.8776
Cliente 2: Epoca: 13, D_loss: 0.0000, G_loss: 15.3480, Tempo: 2.4965
